h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
a;0.446347;2.76188;-2.315533;2;2;0.0628;d;20/09/2014;D;0;1;0;1;Malaga;La_liga;2014
a;0.172228;2.30452;-2.132292;1;3;0.0706;l;22/11/2014;L;0;0;1;0;Malaga;La_liga;2014
h;1.16042;4.15129;-2.99087;1;2;0.0949;l;29/11/2014;L;0;0;1;0;Malaga;La_liga;2014
a;0.375388;2.64447;-2.269082;1;0;0.1186;w;06/12/2014;W;1;0;0;3;Malaga;La_liga;2014
a;0.44907;3.08668;-2.63761;1;4;0.0499;l;07/02/2015;L;0;0;1;0;Malaga;La_liga;2014
a;0.178376;2.70863;-2.530254;0;4;0.0454;l;27/09/2014;L;0;0;1;0;Sevilla;La_liga;2014
a;0.113587;3.11963;-3.006043;1;5;0.0123;l;22/11/2014;L;0;0;1;0;Sevilla;La_liga;2014
a;0.401739;3.04719;-2.645451;1;2;0.07;l;08/02/2015;L;0;0;1;0;Sevilla;La_liga;2014
a;0.227817;3.9035;-3.675683;1;4;0.018;l;05/10/2014;L;0;0;1;0;Deportivo La Coruna;La_liga;2014
a;0.669743;2.74975;-2.080007;0;3;0.2294;l;21/12/2014;L;0;0;1;0;Deportivo La Coruna;La_liga;2014
a;0.181554;2.87108;-2.689526;0;2;0.0403;l;13/03/2015;L;0;0;1;0;Deportivo La Coruna;La_liga;2014
a;0.734613;3.21848;-2.483867;0;4;0.1055;l;29/04/2015;L;0;0;1;0;Deportivo La Coruna;La_liga;2014
a;1.0602;4.01477;-2.95457;1;4;0.1177;l;31/01/2015;L;0;0;1;0;Real Sociedad;La_liga;2014
a;0.723748;4.12804;-3.404292;0;2;0.0268;l;19/10/2014;L;0;0;1;0;Espanyol;La_liga;2014
a;0.904898;3.32956;-2.424662;2;3;0.1468;l;01/02/2015;L;0;0;1;0;Espanyol;La_liga;2014
h;1.00138;3.49523;-2.49385;0;2;0.1686;l;25/04/2015;L;0;0;1;0;Espanyol;La_liga;2014
h;0.518609;2.5901;-2.071491;1;2;0.1859;l;04/01/2015;L;0;0;1;0;Getafe;La_liga;2014
a;0.0426725;4.04338;-4.0007075;0;4;0.0052;l;18/04/2015;L;0;0;1;0;Getafe;La_liga;2014
a;0.576588;2.78449;-2.207902;0;6;0.179;l;28/04/2015;L;0;0;1;0;Getafe;La_liga;2014
a;0.979312;3.13453;-2.155218;3;7;0.2083;l;23/05/2015;L;0;0;1;0;Getafe;La_liga;2014
a;0.87562;3.72806;-2.85244;1;3;0.0617;l;11/01/2015;L;0;0;1;0;Atletico Madrid;La_liga;2014
a;1.40506;4.38395;-2.97889;2;4;0.1163;l;21/09/2014;L;0;0;1;0;Rayo Vallecano;La_liga;2014
h;0.515599;2.97834;-2.462741;0;2;0.1584;l;04/10/2014;L;0;0;1;0;Rayo Vallecano;La_liga;2014
a;0.395055;3.90394;-3.508885;0;4;0.029;l;26/10/2014;L;0;0;1;0;Rayo Vallecano;La_liga;2014
a;0.603533;3.01549;-2.411957;0;3;0.1175;l;13/12/2014;L;0;0;1;0;Rayo Vallecano;La_liga;2014
a;0.406262;2.96514;-2.558878;0;2;0.1097;l;09/02/2015;L;0;0;1;0;Rayo Vallecano;La_liga;2014
a;0.955753;5.199;-4.243247;1;6;0.013;l;08/03/2015;L;0;0;1;0;Rayo Vallecano;La_liga;2014
a;0.962212;6.56908;-5.606868;1;6;0.0032;l;11/04/2015;L;0;0;1;0;Rayo Vallecano;La_liga;2014
a;0.0979707;2.1772;-2.0792293;0;2;0.1005;l;13/09/2014;L;0;0;1;0;Athletic Club;La_liga;2014
a;1.06179;3.17965;-2.11786;1;2;0.0972;l;24/09/2014;L;0;0;1;0;Athletic Club;La_liga;2014
a;0.744918;3.61471;-2.869792;0;5;0.074;l;05/10/2014;L;0;0;1;0;Athletic Club;La_liga;2014
h;1.8275;4.6084;-2.7809;2;5;0.1685;l;08/02/2015;L;0;0;1;0;Athletic Club;La_liga;2014
a;0.102273;2.27475;-2.172477;0;4;0.0533;l;07/02/2015;L;0;0;1;0;Real Madrid;La_liga;2014
h;0.345435;3.01412;-2.668685;0;2;0.0618;l;24/08/2014;L;0;0;1;0;Levante;La_liga;2014
h;0.44198;3.8229;-3.38092;0;5;0.041;l;21/09/2014;L;0;0;1;0;Levante;La_liga;2014
h;0.488171;4.276;-3.787829;0;5;0.0327;l;18/10/2014;L;0;0;1;0;Levante;La_liga;2014
a;0.247088;3.66014;-3.413052;0;5;0.0234;l;15/02/2015;L;0;0;1;0;Levante;La_liga;2014
h;0.434826;2.92074;-2.485914;0;1;0.1099;l;21/03/2015;L;0;0;1;0;Levante;La_liga;2014
a;0.221015;2.66245;-2.441435;1;1;0.0627;d;18/10/2014;D;0;1;0;1;Celta Vigo;La_liga;2014
a;0.552243;2.59443;-2.042187;0;3;0.21;l;06/12/2014;L;0;0;1;0;Celta Vigo;La_liga;2014
h;1.10836;3.12545;-2.01709;0;1;0.207;l;31/08/2014;L;0;0;1;0;Villarreal;La_liga;2014
a;0.958569;3.1169;-2.158331;2;3;0.1714;l;01/02/2015;L;0;0;1;0;Villarreal;La_liga;2014
a;0.830645;2.94269;-2.112045;1;1;0.2211;d;01/03/2015;D;0;1;0;1;Villarreal;La_liga;2014
a;0.445275;4.92758;-4.482305;0;6;0.0092;l;27/09/2014;L;0;0;1;0;Granada;La_liga;2014
a;1.19502;3.80926;-2.61424;1;5;0.0902;l;30/11/2014;L;0;0;1;0;Granada;La_liga;2014
h;1.05422;3.76412;-2.7099;1;3;0.1067;l;28/02/2015;L;0;0;1;0;Granada;La_liga;2014
a;0.602945;6.61091;-6.007965;1;9;0.0016;l;05/04/2015;L;0;0;1;0;Granada;La_liga;2014
a;0.929153;3.09294;-2.163787;0;3;0.2532;l;18/10/2014;L;0;0;1;0;Eibar;La_liga;2014
h;0.87358;4.68657;-3.81299;0;4;0.032;l;22/11/2014;L;0;0;1;0;Eibar;La_liga;2014
a;0.0956199;2.24001;-2.1443901;0;2;0.0529;l;06/02/2015;L;0;0;1;0;Eibar;La_liga;2014
a;0.143497;2.99344;-2.849943;0;3;0.0512;l;11/04/2015;L;0;0;1;0;Eibar;La_liga;2014
a;0.29662;2.59358;-2.29696;0;5;0.1146;l;20/12/2014;L;0;0;1;0;Cordoba;La_liga;2014
a;0.402388;2.59613;-2.193742;0;1;0.1708;l;31/01/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;0.320386;2.40554;-2.085154;0;3;0.1264;l;14/02/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;0.270253;2.31812;-2.047867;0;0;0.1864;d;19/04/2015;D;0;1;0;1;Cordoba;La_liga;2014
h;0.433609;6.18696;-5.753351;0;8;0.0018;l;02/05/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;0.0979845;3.14933;-3.0513455;0;2;0.0291;l;09/05/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;1.07447;3.93785;-2.86338;1;5;0.0975;l;23/09/2014;L;0;0;1;0;Elche;La_liga;2014
